measure,beat,hex,beat_r,hex_r,radius,speed,angle,
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,205,,102.5
,,,,2,-1,200,,100
,,,,2,1,205,,102.5
,,,,2,-1,200,,100
,,,,2,1,205,,102.5
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,1,0,0,,0
17,,,,,0,0,,0
25,,,,,1,215,,107.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,210,,105
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,1,0,0,,0
29,,,,,0,0,,0
37,,,,,1,100,,50
39,,,,,-1,100,,50
41,,,,,1,100,,50
43,,,,,-1,100,,50
45,,,,,0,0,,0
61,,,,,0,0,,0
77,,,,,0,0,,0
78,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
79,,,,,1,200,,100
,,,,1,0,0,,0
80,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
81,,,,,1,200,,100
,,,,1,0,0,,0
82,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,3,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
83,,,,,1,200,,100
,,,,1,0,0,,0
84,,,,,1,200,,100
,,,,1,0,0,,0
,,,,1,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,1,0,0,,0
85,,,,,1,225,,112.5
,,,,1,0,0,,0
,,,,1,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,200,,100
,,,,2,-1,200,,100
,,,,2,1,200,,100
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,,2,1,225,,112.5
,,,,2,0,0,,0
,,,,2,-1,200,,100
,,,,2,0,0,,0
,,,3,2,1,225,,112.5
,,,,1,0,0,,
